Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,36.799999,37.064999,35.930000,36.160000,24.482031,4510352
2016-06-02,36.189999,37.044998,35.884998,36.224998,24.526039,3752635
2016-06-03,36.070000,36.660000,35.209999,35.610001,24.109655,4700347
2016-06-06,35.450001,36.125000,35.139999,35.365002,23.943779,2581913
2016-06-07,35.724998,36.314999,35.525002,35.720001,24.184130,3625964
2016-06-08,35.575001,35.650002,34.755001,34.939999,23.656033,4018631
2016-06-09,34.805000,34.840000,34.174999,34.205002,23.158405,3179573
2016-06-10,34.000000,34.044998,32.615002,32.674999,22.122520,4834515
2016-06-13,32.209999,32.490002,31.495001,31.590000,21.387926,4492412
2016-06-14,31.200001,31.600000,30.674999,30.750000,20.819206,4822461
2016-06-15,31.260000,31.969999,31.000000,31.330000,21.211893,5847573
2016-06-16,30.785000,31.065001,30.305000,30.844999,20.883524,4779100
2016-06-17,31.385000,33.025002,31.309999,32.869999,22.254543,10798563
2016-06-20,33.970001,34.365002,33.610001,33.799999,22.884199,5615713
2016-06-21,33.869999,34.389999,33.700001,34.165001,23.131321,3433230
2016-06-22,34.400002,34.900002,33.945000,34.485001,23.347979,3489953
2016-06-23,34.630001,36.330002,34.494999,36.259998,24.549738,6972546
2016-06-24,27.500000,32.980000,25.000000,28.799999,19.498962,27050059
2016-06-27,29.379999,29.500000,25.725000,26.385000,17.863894,16063137
2016-06-28,27.170000,27.559999,26.809999,26.950001,18.246426,11762558
2016-06-29,27.635000,28.129999,27.424999,27.910000,18.896391,7513346
2016-06-30,27.934999,28.480000,27.299999,28.209999,19.099504,7148647
2016-07-01,28.555000,28.825001,27.910000,28.379999,19.214602,4839738
2016-07-04,28.480000,28.485001,27.580000,27.795000,18.818529,4047151
2016-07-05,27.375000,27.775000,26.584999,26.790001,18.138100,6369450
2016-07-06,26.500000,27.030001,25.955000,26.400000,17.874048,6625106
2016-07-07,26.584999,27.344999,26.485001,26.594999,18.006073,5154054
2016-07-08,26.480000,28.180000,26.315001,28.000000,18.957323,6143341
2016-07-11,28.275000,28.684999,27.764999,28.504999,19.299232,4085219
2016-07-12,28.745001,29.879999,28.565001,29.785000,20.165854,5676984
2016-07-13,29.834999,30.150000,29.100000,29.275000,19.820560,4287209
2016-07-14,29.740000,30.600000,29.530001,30.325001,20.531460,4976064
2016-07-15,30.165001,30.945000,29.969999,30.344999,20.545002,4956924
2016-07-18,30.535000,31.030001,29.735001,30.290001,20.507763,3029543
2016-07-19,30.150000,30.540001,29.285000,30.075001,20.362198,3690198
2016-07-20,30.379999,30.674999,30.035000,30.320000,20.528076,3178961
2016-07-21,30.129999,30.855000,29.924999,30.395000,20.578854,4251732
2016-07-22,30.275000,30.510000,30.020000,30.235001,20.470524,3343268
2016-07-25,30.184999,30.514999,29.879999,30.150000,20.412975,2685830
2016-07-26,30.065001,30.209999,29.410000,29.879999,20.230171,2766732
2016-07-27,30.040001,30.670000,29.965000,30.350000,20.548388,3428984
2016-07-28,30.445000,30.670000,29.670000,29.850000,20.209864,3714120
2016-07-29,29.995001,30.830000,29.850000,30.555000,20.687180,4573377
2016-08-01,30.850000,31.035000,29.035000,29.434999,19.928888,6162304
2016-08-02,29.219999,29.254999,28.025000,28.514999,19.306004,6328400
2016-08-03,29.700001,29.955000,28.855000,29.415001,19.915348,7770197
2016-08-04,29.740000,30.500000,29.730000,29.945000,20.274183,4197770
