Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,3.413000,3.419000,3.301000,3.311000,3.144635,19543543
2020-09-01,3.350000,3.354000,3.204000,3.247000,3.083851,38515622
2020-09-02,3.235000,3.292000,3.205000,3.263000,3.099047,25775780
2020-09-03,3.275000,3.386000,3.275000,3.326000,3.158882,19075006
2020-09-04,3.329000,3.384000,3.256000,3.296000,3.130389,22041240
2020-09-07,3.308000,3.327000,3.217000,3.316000,3.149384,21722994
2020-09-08,3.310000,3.360000,3.238000,3.276000,3.111394,36099315
2020-09-09,3.265000,3.347000,3.246000,3.342000,3.174078,19566273
2020-09-10,3.322000,3.323000,3.245000,3.270000,3.105695,20225305
2020-09-11,3.265000,3.279000,3.186000,3.258000,3.094298,16332017
2020-09-14,3.282000,3.320000,3.250000,3.280000,3.115193,18508264
2020-09-15,3.282000,3.289000,3.217000,3.283000,3.118042,22606225
2020-09-16,3.255000,3.277000,3.215000,3.251000,3.087650,16818152
2020-09-17,3.225000,3.252000,3.156000,3.236000,3.073404,16867650
