Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,59.180000,59.689999,57.660000,59.439999,59.439999,2304131
2020-06-02,60.020000,63.880001,59.590000,63.700001,63.700001,3938126
2020-06-03,65.410004,68.529999,64.599998,68.410004,68.410004,5333349
2020-06-04,68.410004,73.709999,65.889999,71.980003,71.980003,6944413
2020-06-05,75.300003,80.980003,74.860001,80.980003,80.980003,9357529
2020-06-08,80.500000,84.949997,78.599998,81.910004,81.910004,6926062
2020-06-09,82.500000,85.080002,74.650002,75.669998,75.669998,7255504
2020-06-10,77.349998,80.000000,73.669998,74.959999,74.959999,4459277
2020-06-11,71.349998,73.739998,67.059998,67.059998,67.059998,6610324
2020-06-12,65.989998,71.839996,65.199997,66.949997,66.949997,5584757
2020-06-15,64.750000,68.430000,63.450001,68.000000,68.000000,3675595
2020-06-16,71.139999,72.120003,68.379997,69.830002,69.830002,5092018
2020-06-17,70.000000,70.820000,68.300003,69.750000,69.750000,3408687
2020-06-18,68.360001,69.139999,66.000000,67.820000,67.820000,3997334
2020-06-19,68.800003,69.839996,66.949997,68.860001,68.860001,5582655
2020-06-22,67.879997,68.699997,65.760002,67.260002,67.260002,2118878
2020-06-23,68.099998,69.290001,66.000000,66.760002,66.760002,3046980
2020-06-24,66.699997,67.410004,62.970001,62.970001,62.970001,3412357
2020-06-25,62.520000,64.620003,61.270000,63.919998,63.919998,3561513
2020-06-26,64.370003,65.489998,61.860001,61.880001,61.880001,3309535
2020-06-29,60.889999,64.419998,60.180000,63.349998,63.349998,3287317
2020-06-30,64.660004,65.919998,62.779999,63.520000,63.520000,2988582
2020-07-01,63.599998,65.639999,60.849998,64.190002,64.190002,2876580
2020-07-02,65.139999,67.790001,64.239998,66.410004,66.410004,2989535
2020-07-03,66.980003,67.660004,64.599998,65.629997,65.629997,1574888
2020-07-06,67.419998,68.459999,66.940002,67.720001,67.720001,2437574
2020-07-07,67.550003,68.099998,66.620003,67.300003,67.300003,1608022
2020-07-08,66.309998,66.900002,64.800003,65.830002,65.830002,1977311
2020-07-09,66.500000,66.720001,63.220001,63.220001,63.220001,2470846
2020-07-10,62.220001,65.809998,62.020000,65.449997,65.449997,2412795
2020-07-13,66.529999,67.980003,66.400002,67.849998,67.849998,2148001
2020-07-14,66.500000,66.849998,64.709999,66.160004,66.160004,2402161
2020-07-15,67.300003,70.739998,66.889999,69.220001,69.220001,5094971
2020-07-16,68.529999,69.360001,66.760002,67.000000,67.000000,2035858
2020-07-17,66.900002,67.080002,65.190002,65.900002,65.900002,2228828
2020-07-20,null,null,null,null,null,null
2020-07-21,66.989998,69.500000,66.860001,68.050003,68.050003,2197989
2020-07-22,67.699997,68.040001,65.300003,67.110001,67.110001,1890217
2020-07-23,67.419998,67.449997,65.019997,65.279999,65.279999,1945594
2020-07-24,64.639999,64.779999,62.980000,63.930000,63.930000,2093318
2020-07-27,63.580002,63.610001,61.750000,61.919998,61.919998,2302830
2020-07-28,61.880001,64.059998,61.759998,63.849998,63.849998,1918092
2020-07-29,63.459999,64.980003,62.180000,62.180000,62.180000,1945867
2020-07-30,63.500000,66.110001,62.160000,63.340000,63.340000,3218359
2020-07-31,63.080002,63.980000,61.810001,62.009998,62.009998,2660929
2020-08-03,62.330002,63.880001,60.779999,63.730000,63.730000,2563330
2020-08-04,64.470001,66.349998,64.230003,65.680000,65.680000,2316976
