Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,13.712000,13.964000,13.542000,13.820000,13.820000,4229388
2020-06-02,13.960000,14.624000,13.794000,14.268000,14.268000,8503870
2020-06-03,14.690000,14.966000,14.464000,14.892000,14.892000,11351608
2020-06-04,14.694000,15.568000,14.270000,15.266000,15.266000,13218157
2020-06-05,15.858000,16.990000,15.820000,16.848000,16.848000,16462470
2020-06-08,16.850000,18.298000,16.764000,17.784000,17.784000,20044887
2020-06-09,17.830000,17.972000,16.020000,16.468000,16.468000,13366345
2020-06-10,16.712000,17.152000,15.716000,15.780000,15.780000,11164963
2020-06-11,15.030000,15.180000,14.302000,14.302000,14.302000,14119604
2020-06-12,14.042000,15.440000,13.900000,14.766000,14.766000,12015087
2020-06-15,13.906000,14.630000,13.800000,14.408000,14.408000,9414088
2020-06-16,15.158000,15.296000,14.422000,14.888000,14.888000,11851942
2020-06-17,14.906000,15.270000,14.550000,14.696000,14.696000,8374480
2020-06-18,14.580000,15.154000,14.366000,14.620000,14.620000,8257088
2020-06-19,14.840000,14.928000,14.194000,14.374000,14.374000,16750561
2020-06-22,14.150000,14.486000,13.954000,14.314000,14.314000,5157565
2020-06-23,14.556000,15.184000,14.386000,14.942000,14.942000,6914848
2020-06-24,14.858000,15.180000,14.228000,14.262000,14.262000,6186755
2020-06-25,14.100000,14.826000,13.940000,14.756000,14.756000,8312895
2020-06-26,14.972000,15.020000,14.436000,14.484000,14.484000,5165239
2020-06-29,14.400000,15.040000,14.306000,14.914000,14.914000,4846117
2020-06-30,14.886000,15.000000,14.490000,14.800000,14.800000,5550188
2020-07-01,14.940000,15.050000,14.396000,14.692000,14.692000,5624524
2020-07-02,14.880000,15.742000,14.766000,15.500000,15.500000,8940994
2020-07-03,15.500000,15.650000,15.024000,15.262000,15.262000,5076819
2020-07-06,15.800000,16.230000,15.668000,15.866000,15.866000,7148009
2020-07-07,15.764000,15.838000,15.490000,15.538000,15.538000,5009417
2020-07-08,15.350000,15.444000,15.112000,15.174000,15.174000,5236800
2020-07-09,15.300000,15.372000,14.632000,14.632000,14.632000,5103559
2020-07-10,14.502000,15.168000,14.414000,15.130000,15.130000,5608223
2020-07-13,15.444000,15.582000,15.042000,15.400000,15.400000,4916438
2020-07-14,15.200000,15.520000,14.994000,15.306000,15.306000,5266589
2020-07-15,15.500000,15.946000,15.126000,15.726000,15.726000,6619733
2020-07-16,15.646000,15.960000,15.474000,15.956000,15.956000,5497456
2020-07-17,15.850000,15.900000,15.470000,15.704000,15.704000,5449601
2020-07-20,null,null,null,null,null,null
2020-07-21,15.890000,16.271999,15.626000,15.668000,15.668000,6403485
2020-07-22,15.682000,15.844000,15.166000,15.246000,15.246000,4538936
2020-07-23,15.316000,15.380000,14.820000,15.022000,15.022000,4751316
2020-07-24,14.788000,14.860000,14.614000,14.690000,14.690000,4857617
2020-07-27,14.632000,14.702000,14.132000,14.134000,14.134000,6007512
2020-07-28,14.100000,14.416000,14.090000,14.256000,14.256000,4461852
2020-07-29,14.250000,14.296000,13.786000,13.876000,13.876000,5955552
2020-07-30,13.846000,13.862000,13.014000,13.172000,13.172000,9375936
2020-07-31,13.310000,13.458000,12.962000,12.984000,12.984000,7436662
2020-08-03,12.650000,13.032000,12.412000,12.900000,12.900000,7939336
2020-08-04,13.058000,13.636000,12.990000,13.580000,13.580000,7865587
2020-08-05,13.660000,13.730000,13.392000,13.476000,13.476000,4893753
2020-08-06,13.440000,13.620000,13.072000,13.302000,13.302000,6202783
2020-08-07,13.246000,13.306000,13.042000,13.298000,13.298000,4548599
2020-08-10,13.492000,13.792000,13.362000,13.706000,13.706000,4172775
2020-08-11,13.810000,14.322000,13.800000,14.212000,14.212000,7796100
2020-08-12,14.142000,14.624000,13.994000,14.314000,14.314000,6796863
2020-08-13,14.168000,14.440000,14.000000,14.200000,14.200000,6176548
2020-08-14,14.118000,14.118000,13.644000,14.066000,14.066000,5594668
2020-08-17,14.030000,14.164000,13.790000,13.996000,13.996000,5130330
2020-08-18,13.840000,14.116000,13.680000,13.740000,13.740000,4618625
2020-08-19,13.670000,13.914000,13.518000,13.914000,13.914000,3946141
2020-08-20,13.618000,13.654000,13.416000,13.550000,13.550000,3699599
2020-08-21,13.628000,13.694000,13.076000,13.282000,13.282000,5601847
2020-08-24,13.456000,13.838000,13.386000,13.838000,13.838000,3879410
2020-08-25,13.990000,14.186000,13.756000,13.796000,13.796000,4970190
2020-08-26,13.762000,14.048000,13.668000,13.900000,13.900000,2803544
2020-08-27,13.856000,13.876000,13.600000,13.730000,13.730000,3620013
2020-08-28,13.842000,14.204000,13.724000,14.154000,14.154000,6348084
2020-08-31,14.238000,14.388000,13.580000,13.582000,13.582000,4866216
2020-09-01,13.750000,13.822000,13.000000,13.230000,13.230000,7685121
2020-09-02,13.300000,13.370000,12.836000,12.920000,12.920000,7372797
2020-09-03,13.100000,13.484000,12.860000,12.950000,12.950000,6677916
2020-09-04,13.104000,13.838000,12.990000,13.674000,13.674000,12142733
2020-09-07,13.888000,14.086000,13.510000,13.526000,13.526000,5164905
2020-09-08,13.572000,13.640000,12.918000,13.018000,13.018000,6211256
2020-09-09,13.000000,13.238000,12.810000,13.182000,13.182000,5968869
2020-09-10,13.214000,13.432000,12.988000,13.254000,13.254000,4871422
2020-09-11,13.174000,13.174000,12.840000,12.842000,12.842000,6763917
2020-09-14,13.098000,13.236000,12.868000,13.202000,13.202000,4883483
2020-09-15,13.202000,13.294000,12.924000,12.996000,12.996000,4600264
2020-09-16,13.016000,13.052000,12.564000,12.970000,12.970000,6609638
2020-09-17,12.698000,13.156000,12.662000,13.028000,13.028000,7022282
